skill_1,skill_2,frequency
project management,semiconductors,3
manage system testing,project management,3
Scala,principles of artificial intelligence,3
ICT project management methodologies,Scala,3
ICT project management methodologies,liaise with quality assurance,3
natural language processing,principles of artificial intelligence,3
natural gas,principles of artificial intelligence,3
Power BI,SAS,3
Microsoft Access,Microsoft Excel,3
Snowflake,integrated circuits,3
computer programming,natural language processing,3
computer programming,principles of artificial intelligence,3
computer programming,data visualisation software,3
supervision of persons,types of tidal stream generators,3
Python,Source (digital game creation systems),3
data mining,semiconductors,3
Data Governance,solve problems,3
SQL,integrated circuits,3
Apache Spark,integrated circuits,3
data warehouse,integrated circuits,3
Python,database management systems,3
Power BI,SQL Server,3
SQL,project management,3
Tableau,computer programming,3
Microsoft Office,R,3
data mining,project management,3
engage with stakeholders,rhetoric,3
database management systems,risk management,3
Python,glue film reels,3
statistical modeling techniques,use computer telephony integration,3
Azure Data Factory,SQL Server,3
MySQL,R,3
Scala,Snowflake,3
Scala,integrated circuits,3
debt classification,deep learning,3
debt classification,machine learning,3
Microsoft Office,Tableau,3
data mining,define data quality criteria,3
define data quality criteria,use computer telephony integration,3
information architecture,natural gas,3
Microsoft SharePoint,integrated circuits,3
R,debt classification,3
SQL,debt classification,3
plan,semiconductors,3
Microsoft Office,Python,2
DevOps,Python,2
DevOps,Docker,2
computer vision,learning management systems,2
learning management systems,natural language processing,2
TensorFlow,learning management systems,2
Python,logic,2
R,logic,2
Java (computer programming),natural language processing,2
Amazon Web Services,semiconductors,2
Python,manage athletes,2
JavaScript,Python,2
C++,manage athletes,2
C++,JavaScript,2
Cloud Platform,natural language processing,2
Cloud Platform,Python,2
C++,Perl,2
SAP Data Services,plan,2
SAP Data Services,interpreting modes,2
SAP Data Services,SAP FICO,2
Apache Spark,Azure Data Factory,2
MySQL,natural gas,2
SQL Server,data warehouse,2
SQL Server,Snowflake,2
Data Lineage,radiotherapy,2
Data Lineage,data visualisation software,2
Pentaho Data Integration,use computer telephony integration,2
Pentaho Data Integration,information architecture,2
Pentaho Data Integration,data models,2
Pentaho Data Integration,computer programming,2
Pentaho Data Integration,business intelligence,2
business intelligence,solve problems,2
analyse pipeline database information,use computer telephony integration,2
analyse pipeline database information,sing,2
analyse pipeline database information,data mining,2
analyse pipeline database information,computer programming,2
Microsoft Excel,accounting,2
Microsoft Excel,Microsoft SharePoint,2
accounting,integrated circuits,2
business intelligence,web analytics,2
integrated circuits,keywords in digital content,2
fit low vision aids,use presentation software,2
data visualisation software,talent management strategies,2
data mining,web analytics,2
define data quality criteria,solve problems,2
define data quality criteria,sing,2
public relations,use computer telephony integration,2
Jira,integrated circuits,2
natural gas,web analytics,2
information architecture,use computer telephony integration,2
statistics,web analytics,2
supervision of persons,talent management strategies,2
statistics,talent management strategies,2
semiconductors,talent management strategies,2
semiconductors,supervision of persons,2
Data Lineage,use computer telephony integration,2
fit low vision aids,keywords in digital content,2
sing,use computer telephony integration,2
semiconductors,web analytics,2
radiotherapy,web analytics,2
radiotherapy,solve problems,2
business intelligence,perform contract reporting and evaluation,2
business intelligence,computer technology,2
computer technology,data visualisation software,2
control compliance of railway vehicles regulations,semiconductors,2
control compliance of railway vehicles regulations,project management,2
control compliance of railway vehicles regulations,natural gas,2
control compliance of railway vehicles regulations,identify process improvements,2
"data extraction, transformation and loading tools",semiconductors,2
"data extraction, transformation and loading tools",perform contract reporting and evaluation,2
analyse pipeline database information,solve problems,2
root cause analysis,statistics,2
execute integration testing,perform software unit testing,2
human-robot collaboration,principles of artificial intelligence,2
liaise with quality assurance,types of tidal stream generators,2
JavaScript,Microsoft Excel,2
"data extraction, transformation and loading tools",data visualisation software,2
"data extraction, transformation and loading tools",data mining,2
data visualisation software,perform contract reporting and evaluation,2
data mining,perform contract reporting and evaluation,2
business analysis,financial analysis,2
glue film reels,integrated circuits,2
database,integrated circuits,2
DevOps,integrated circuits,2
natural gas,types of tidal stream generators,2
natural language processing,types of tidal stream generators,2
data models,lead process optimisation,2
analyse pipeline database information,supervision of persons,2
manage system testing,statistics,2
manage system testing,natural gas,2
perform contract reporting and evaluation,project management,2
perform contract reporting and evaluation,statistics,2
project management,radiotherapy,2
Financial Modeling,business analysis,2
Financial Modeling,statistics,2
assess your competences for artistic coaching,business intelligence,2
Amazon S3,glue film reels,2
statistics,use specialised computer models for weather forecasting,2
financial analysis,use specialised computer models for weather forecasting,2
business analysis,use specialised computer models for weather forecasting,2
business intelligence,report analysis results,2
business intelligence,natural language processing,2
database,principles of artificial intelligence,2
data analytics,supervision of persons,2
Microsoft Project,integrated circuits,2
Microsoft Project,fit low vision aids,2
Apache Hadoop,data models,2
Apache Hadoop,Tableau,2
Apache Hadoop,Power BI,2
risk management,solar energy,2
Groovy,Scala,2
Groovy,principles of artificial intelligence,2
Groovy,human-robot collaboration,2
ICT project management methodologies,principles of artificial intelligence,2
Scala,data analytics,2
Scala,business intelligence,2
Scala,supervision of persons,2
asset management,integrated circuits,2
Scala,human-robot collaboration,2
business intelligence,types of tidal stream generators,2
database,think creatively,2
hardware testing methods,project management,2
hardware testing methods,natural gas,2
hardware testing methods,think creatively,2
hardware testing methods,statistics,2
hardware testing methods,solar energy,2
natural gas,perform data cleansing,2
perform data cleansing,solar energy,2
perform data cleansing,sing,2
Apache Hadoop,Google Cloud Platform,2
reverse engineering,risk management,2
project management,sing,2
project management,reverse engineering,2
solar energy,think creatively,2
sing,solar energy,2
risk management,think creatively,2
Databricks,Microsoft Azure,2
business analysis,pricing strategies,2
business analysis,documentation types,2
business analysis,develop business case,2
business analysis,business intelligence,2
business intelligence,learning management systems,2
business intelligence,engage with stakeholders,2
business intelligence,demonstrate leadership in social service cases,2
business analysis,types of tidal stream generators,2
business analysis,social development,2
business intelligence,pricing strategies,2
computer programming,demonstrate leadership in social service cases,2
computer programming,pricing strategies,2
data warehouse,risk management,2
data warehouse,project management,2
data warehouse,natural gas,2
data analytics,database,2
data models,demonstrate leadership in social service cases,2
data models,pricing strategies,2
data models,learning management systems,2
data models,engage with stakeholders,2
demonstrate leadership in social service cases,pricing strategies,2
demonstrate leadership in social service cases,manage drilling team,2
demonstrate leadership in social service cases,learning management systems,2
SQL,manage standards for data exchange,2
Amazon Athena,integrated circuits,2
Databricks,data models,2
data models,perform data cleansing,2
data models,hardware testing methods,2
"data extraction, transformation and loading tools",think creatively,2
"data extraction, transformation and loading tools",risk management,2
data warehouse,think creatively,2
Databricks,Power BI,2
Amazon Athena,glue film reels,2
develop business case,social development,2
develop business case,risk management,2
develop business case,interact with users to gather requirements,2
documentation types,use computer telephony integration,2
documentation types,types of tidal stream generators,2
manage standards for data exchange,sing,2
data visualisation software,manage standards for data exchange,2
business intelligence,reverse engineering,2
business intelligence,perform data cleansing,2
business intelligence,database,2
computer programming,perform data cleansing,2
computer programming,data warehouse,2
computer programming,data analytics,2
business intelligence,think creatively,2
Google Cloud Platform,SQL,2
Google Cloud Platform,Python,2
Microsoft Azure,business intelligence,2
Microsoft Azure,Tableau,2
apply information security policies,data warehouse,2
apply information security policies,data models,2
apply information security policies,"data extraction, transformation and loading tools",2
apply information security policies,data analytics,2
SQL,think creatively,2
SQL,risk management,2
apply information security policies,statistics,2
apply information security policies,solar energy,2
apply information security policies,reverse engineering,2
apply information security policies,database,2
business intelligence,data analytics,2
Databricks,data engineering,2
Microsoft Azure,SQL,2
Microsoft Azure,R,2
Microsoft Azure,Python,2
documentation types,interact with users to gather requirements,2
engage with stakeholders,manage drilling team,2
interact with users to gather requirements,types of tidal stream generators,2
interact with users to gather requirements,social development,2
R,manage standards for data exchange,2
Python,sing,2
Power BI,business intelligence,2
DevOps,database,2
ICT project management methodologies,hardware testing methods,2
ICT project management methodologies,data models,2
DevOps,think creatively,2
ICT project management methodologies,solar energy,2
ICT project management methodologies,sing,2
learning management systems,pricing strategies,2
manage drilling team,risk management,2
risk management,supervision of persons,2
risk management,social development,2
pricing strategies,use computer telephony integration,2
Data Manipulation,data visualisation software,2
Data Manipulation,R,2
Data Lineage,solar energy,2
Data Lineage,project management,2
Data Lineage,perform data cleansing,2
DevOps,data warehouse,2
DevOps,data models,2
DevOps,business intelligence,2
DevOps,SQL,2
DevOps,R,2
DevOps,sing,2
interact with users to gather requirements,liaise with quality assurance,2
engage with stakeholders,liaise with quality assurance,2
Jira,Python,2
Snowflake,"data extraction, transformation and loading tools",2
business processes,use computer telephony integration,2
Data Governance,database,2
Data Lineage,computer programming,2
Data Lineage,business intelligence,2
Microsoft Azure,semiconductors,2
R,information architecture,2
Python,radiotherapy,2
Data Governance,think creatively,2
